100,Speaker,These speakers are incredibly amazing .
100,Speaker,"Before this I had the jbl on stage , which were also incredibly good ."
100,Speaker,But I wanted something that I can play without having to plug into a power outlet and would work on rechargable batteries .
100,Speaker,I didnt want one in which I would have to put in batteries myself -LRB- that is a pain -RRB- I did alot of research and read a bunch of reviews and im glad I purchased these speakers .
100,Speaker,Most of the reviews about the sound quality is true .
100,Speaker,"The speakers have a very rich sound and good bass also , obviously not thumping bass for which you would need a huge subwoofer !!"
100,Speaker,Although the bass im getting out of these speakers was unexpected .
100,Speaker,"Without a doubt I would say that these speakers have the same sound quality as the jbl on stage , and are truly portable -LRB- can be played without a power outlet , I love that feature -RRB- ."
100,Speaker,The only downside is the remote which requires a line of sight .
100,Speaker,Its not a big deal for me .
100,Speaker,The main thing I was looking for was sound quality !
100,Speaker,"I read all the reviews herein , and saw all the concerns ."
100,Speaker,"First , i was looking for an iPhone dock and FM tuner , not necessarily an alarm clock - as its for the office ."
100,Speaker,"I must say : - IT WORKS WITH IPHONE4 , EVEN WITH THIN CASE ON IT ."
100,Speaker,just push it into the slot - It charges the iPhone4 .
100,Speaker,"- It allows incoming calls to interrupt the music , and you can answer the call without having to undock it ."
100,Speaker,- It allows incoming email and TXT messages to be read and responded to w\/o undocking it - essentially you can do ALL iPhone apps while its docked .
100,Speaker,- Sound quality is good .
100,Speaker,- Tuner quality is good .
100,Speaker,"- Looks fantastic , esp w\/iPhone4 docked !!"
100,Speaker,"- Setup , from in the box to completely working , and programmed for 20 preset FM stations , was under 5 minutes ."
100,Speaker,"- I bought from an Amazon Prime Fullfiller , used like new , and it is just that - like new , not a blemish or issue , and for $ 56 ... I have no qualms about this ."
100,Speaker,"Yes , the buttons are a bit small and close , but they are functional ."
100,Speaker,My only recommendation - include a remote ... BUY THIS !
100,Speaker,"I purchased this phone set for work , thinking that inexpensive replacement phones would ease the pain of things being spilled on them or dropped ."
100,Speaker,"The sound quality has been poor since day one , the base constantly drops calls , and now there seems to be some sort of short circuit in the base -- we can no longer use the AC adapter with the base or it turns off completely ."
100,Speaker,"When I purchased this set , I never imagined I would be running my business telephones off of 4 AA batteries ."
100,Speaker,Other complaints : you ca n't put line 1 on hold and answer line 2 with the same handset without a `` conference call '' beginning .
100,Speaker,The incoming call volume is incredibly low and it is often difficult to hear my customers -LRB- it was so bad I had my hearing tested because I thought something was wrong with me .
100,Speaker,"Yes , I 'm blonde , but this proves to me it 's the phones ! -RRB-"
100,Speaker,"I got this for use on my truck and I 'm happy with it for the most part , it is loud and super easy to install , however you are going to want an amp for i"
100,Speaker,I will never buy another GE phone again .
100,Speaker,Period .
100,Speaker,These speakers have great sound but they will buzz if you leave them on with the sound turned up .
100,Speaker,These serve as my primary speakers in my living room -LRB- about 14X22 -RRB- .
